55 142.0 65.0
46 168.0 94.0
40 174.0 114.0
57 178.0 84.0
44 191.0 60.0
30 168.0 109.0
49 155.0 83.0
37 140.0 90.0
43 148.0 53.0
42 172.0 107.0
36 150.0 89.0
29 147.0 82.0
24 188.0 77.0
57 149.0 113.0
57 182.0 61.0
34 187.0 91.0
47 183.0 52.0
32 198.0 51.0
55 156.0 107.0
58 142.0 74.0
52 183.0 105.0
32 150.0 90.0
26 162.0 89.0
46 147.0 114.0
58 164.0 120.0
56 157.0 113.0
42 200.0 111.0
48 172.0 50.0
46 163.0 107.0
63 154.0 82.0
58 182.0 108.0
38 161.0 82.0
47 182.0 97.0
52 154.0 72.0
26 178.0 72.0
49 178.0 91.0
28 140.0 94.0
24 141.0 96.0
45 144.0 65.0
21 185.0 65.0
42 184.0 60.0
45 170.0 57.0
31 174.0 62.0
28 143.0 74.0
52 173.0 112.0
38 141.0 76.0
36 180.0 68.0
60 140.0 85.0
62 179.0 98.0
57 153.0 76.0
56 145.0 119.0
62 148.0 55.0
36 148.0 64.0
29 182.0 60.0
48 164.0 108.0
26 162.0 102.0
44 161.0 109.0
27 146.0 78.0
62 162.0 102.0
25 197.0 62.0
65 160.0 69.0
62 159.0 87.0
36 175.0 77.0
32 158.0 60.0
25 151.0 80.0
51 157.0 53.0
20 194.0 114.0
32 185.0 112.0
62 189.0 82.0
55 162.0 113.0
38 196.0 61.0
51 176.0 112.0
47 193.0 78.0
51 170.0 110.0
50 198.0 102.0
65 147.0 65.0
25 189.0 50.0
49 177.0 77.0
31 154.0 70.0
34 180.0 66.0
64 189.0 117.0
40 194.0 76.0
52 178.0 90.0
41 144.0 100.0
38 158.0 115.0
34 182.0 50.0
53 157.0 107.0
31 184.0 117.0
50 192.0 100.0
29 196.0 74.0
62 159.0 87.0
34 183.0 52.0
36 190.0 79.0
20 200.0 63.0
19 198.0 107.0
34 140.0 79.0
58 149.0 118.0
56 167.0 96.0
29 171.0 66.0
32 194.0 74.0
18 163.0 97.0
32 167.0 73.0
29 173.0 94.0
62 174.0 59.0
48 144.0 109.0
58 171.0 73.0
53 152.0 118.0
29 141.0 97.0
63 189.0 95.0
23 179.0 111.0
26 152.0 67.0
32 191.0 87.0
26 145.0 71.0
25 160.0 99.0
27 145.0 98.0
45 154.0 90.0
39 178.0 103.0
53 147.0 52.0
60 166.0 65.0
31 164.0 99.0
36 183.0 59.0
21 182.0 58.0
51 179.0 72.0
24 175.0 61.0
41 151.0 59.0
23 173.0 71.0
29 145.0 90.0
20 178.0 66.0
28 151.0 50.0
29 163.0 114.0
26 183.0 97.0
65 192.0 58.0
43 197.0 102.0
19 147.0 73.0
36 162.0 68.0
30 191.0 57.0
37 153.0 115.0
40 177.0 62.0
27 162.0 105.0
19 183.0 76.0
51 173.0 110.0
27 156.0 68.0
52 173.0 92.0
63 161.0 90.0
61 181.0 78.0
31 171.0 65.0
55 148.0 102.0
32 180.0 98.0
45 162.0 57.0
53 181.0 104.0
48 196.0 61.0
28 162.0 92.0
39 158.0 80.0
65 153.0 51.0
40 167.0 94.0
25 179.0 95.0
21 146.0 64.0
19 146.0 60.0
31 192.0 110.0
60 170.0 110.0
65 160.0 87.0
37 186.0 65.0
30 194.0 83.0
24 175.0 111.0
33 152.0 119.0
21 157.0 106.0
31 154.0 61.0
60 196.0 72.0
64 148.0 91.0
19 180.0 83.0
39 165.0 82.0
26 154.0 80.0
55 164.0 55.0
46 182.0 80.0
58 192.0 90.0
54 171.0 96.0
32 191.0 118.0
24 176.0 58.0
24 164.0 100.0
26 147.0 83.0
